"","X","price","overall_satisfaction","reviews","room_type","accommodates","bedrooms","minstay","neighborhood","district","WalkScore","TransitScore","BikeScore","PctBlack"
"1",1,85,5,6,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"2",2,35,5,8,"Private room",1,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"3",3,175,4.5,7,"Entire home/apt",4,2,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"4",4,75,5,52,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"5",5,160,5,3,"Entire home/apt",6,2,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"6",6,60,5,5,"Private room",1,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"7",7,39,5,8,"Private room",2,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"8",8,65,5,25,"Private room",2,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"9",9,47,4.5,7,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"10",10,100,4.5,24,"Entire home/apt",6,2,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"11",11,150,4.5,8,"Entire home/apt",6,2,5,"Albany Park","Far North",87,62,68,0.0425315386240135
"12",12,38,5,3,"Private room",1,1,10,"Albany Park","Far North",87,62,68,0.0425315386240135
"13",13,87,5,10,"Private room",4,1,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"14",14,39,5,15,"Private room",3,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"15",15,73,5,3,"Entire home/apt",4,2,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"16",16,150,5,6,"Entire home/apt",6,3,2,"Albany Park","Far North",87,62,68,0.0425315386240135
"17",17,48,5,5,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
"18",18,84,5,18,"Entire home/apt",4,0,NA,"Albany Park","Far North",87,62,68,0.0425315386240135
"19",19,97,5,3,"Entire home/apt",4,1,3,"Albany Park","Far North",87,62,68,0.0425315386240135
"20",20,65,5,4,"Private room",2,1,1,"Albany Park","Far North",87,62,68,0.0425315386240135
